review_reason,dosage_form_raw,use_text_type,name_features,derived_preparation_type,review_trigger_rule,record_count,auto_include_count,auto_exclude_count,unresolved_count
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",滴劑,blank,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",6,0,0,6
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液用顆粒劑,blank,generic_liquid_name,requires_reconstitution,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",5,0,0,5
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",乳劑,blank,none,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",4,0,0,4
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液劑,other_official_text,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",4,0,0,4
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",液劑,volume_dosing_without_route_word,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",4,0,0,4
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",溶液劑,other_official_text,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",4,0,0,4
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",體腔用液劑,blank,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",4,0,4,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液用粉劑,leaflet_reference_only,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",3,3,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",溶液劑,leaflet_reference_only,explicit_oral_liquid_name;generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",3,3,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",溶液劑,leaflet_reference_only,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",3,0,0,3
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",溶液用粉劑,blank,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",3,3,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",靜脈輸注液,leaflet_reference_only,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",3,0,3,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",靜脈輸注液,other_official_text,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",3,0,3,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",點眼乳劑,leaflet_reference_only,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",3,0,3,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",點眼液劑,blank,none,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",3,0,3,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",鼻用噴液劑,blank,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",3,0,3,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",內服懸液劑,explicit_oral_use,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,2,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸浮液,blank,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,0,0,2
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸浮液用顆粒劑,leaflet_reference_only,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,2,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液劑,explicit_oral_use,none,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,2,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液劑,volume_dosing_without_route_word,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,0,0,2
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液劑,leaflet_reference_only,none,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,0,0,2
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",液劑,leaflet_reference_only,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,0,0,2
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",溶液用粉劑,explicit_oral_use,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,2,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",無菌眼用液劑,leaflet_reference_only,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,0,2,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",眼用液劑,leaflet_reference_only,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,0,2,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",醫用氣體(液態),blank,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,0,2,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",醫用氣體(液態),leaflet_reference_only,none,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,0,2,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",點眼懸液劑,other_official_text,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,0,2,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",點眼懸液劑,blank,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,0,2,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",點鼻液劑,blank,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",2,0,2,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",乳劑,volume_dosing_without_route_word,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,0,1
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",乳劑,other_official_text,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,0,1
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸浮液,explicit_oral_use,explicit_oral_liquid_name;generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,1,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸浮液,explicit_oral_use,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,1,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液劑,explicit_oral_use,explicit_oral_liquid_name;generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,1,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液用粉劑,other_official_text,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,1,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",懸液用粉劑,blank,generic_liquid_name,requires_reconstitution,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,0,1
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",氣化噴霧用溶液劑,other_official_text,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,1,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",液劑,volume_dosing_without_route_word,none,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,0,1
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",液劑,explicit_oral_use,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,1,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",液態氣體,other_official_text,none,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,1,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",液態氣體,other_official_text,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,1,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",溶液劑,blank,none,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,0,1
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",溶液劑,blank,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,0,1
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",溶液用粉劑,explicit_oral_use,none,requires_reconstitution,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,1,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",滴劑,other_official_text,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,0,1
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",滴劑,explicit_oral_use,none,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,1,0,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",無菌眼耳鼻用液劑,leaflet_reference_only,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,1,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",牙科用懸液劑,volume_dosing_without_route_word,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,1,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",眼用液劑,other_official_text,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,1,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",眼用液劑,blank,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,1,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",醫用氣體(液態),blank,none,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,1,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",醫用氣體(液態),other_official_text,none,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,1,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",點眼乳劑,other_official_text,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,1,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",點耳液劑,blank,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,1,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",點耳液劑,leaflet_reference_only,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,1,0
"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",鼻用噴液劑,leaflet_reference_only,generic_liquid_name,ready_to_use,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",1,0,1,0
