review_id,license_number,chinese_name,english_name,dosage_form_raw,route_raw,review_type,reason,recommended_action,source_id,verified_at,review_reason,use_text_type,name_features,derived_preparation_type,decision,dosage_form_group,preparation_type,resolution_rule_id,confidence,official_evidence,resolved_at
review_00119,衛署藥製字第034290號,"""回春堂""金固胃懸液130毫克/公克","""HCT"" Golden GI Plus Suspension 130mg/gm",懸液劑,一天3次，或需要時服用。成人每次20G(一包，15ML)；12歲以上適用成人劑量；6歲以上未滿12歲，每次10公克(半包，7.5ML)；3歲以上未滿6歲，每次5公克(1/4包，3.75ML)；三歲以下之嬰幼兒請洽醫師診治，不宜自行使用。,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",explicit_oral_use,generic_liquid_name,ready_to_use,auto_include,oral_suspension,ready_to_use,MR-A02,high,"TFDA dosage form=懸液劑; approved use=一天3次，或需要時服用。成人每次20G(一包，15ML)；12歲以上適用成人劑量；6歲以上未滿12歲，每次10公克(半包，7.5ML)；3歲以上未滿6歲，每次5公克(1/4包，3.75ML)；三歲以下之嬰幼兒請洽醫師診治，不宜自行使用。; names=""回春堂""金固胃懸液130毫克/公克 ""HCT"" Golden GI Plus Suspension 130mg/gm.",2026-07-14T17:31:47+08:00
review_00128,衛署藥製字第034503號,五福滴視點眼液,"ARTIFICIAL TEAR ""WU-FU""",點眼液劑,"需要時使用,每次1至2滴",inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",other_official_text,generic_liquid_name,ready_to_use,auto_exclude,,,MR-B01,high,"TFDA dosage form=點眼液劑; approved use=需要時使用,每次1至2滴; names=五福滴視點眼液 ARTIFICIAL TEAR ""WU-FU"".",2026-07-14T17:31:47+08:00
review_00166,衛署藥製字第040659號,賜福樂素口服懸液用顆粒25毫克/毫升,"CEFACLOR FOR ORAL SUSPENSION 25MG/ML ""SCB""",懸液用顆粒劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,auto_include,granules_for_oral_suspension,requires_reconstitution,MR-A03,high,"TFDA dosage form=懸液用顆粒劑; approved use=; names=賜福樂素口服懸液用顆粒25毫克/毫升 CEFACLOR FOR ORAL SUSPENSION 25MG/ML ""SCB"".",2026-07-14T17:31:47+08:00
review_00198,衛署藥製字第049750號,明漾人工淚液點眼液,Min Young Lubricant Eye Drops,點眼液劑,需要時使用，每次1至2滴。,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",other_official_text,generic_liquid_name,ready_to_use,auto_exclude,,,MR-B01,high,TFDA dosage form=點眼液劑; approved use=需要時使用，每次1至2滴。; names=明漾人工淚液點眼液 Min Young Lubricant Eye Drops.,2026-07-14T17:31:47+08:00
review_00203,衛署藥製字第049796號,"""黃氏"" 益骨康加強型口服溶液用粉劑","Maxbone-S powder for oral solution ""H.S.""",溶液用粉劑,詳見仿單。,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",other_official_text,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,auto_include,powder_for_oral_solution,requires_reconstitution,MR-A03,high,"TFDA dosage form=溶液用粉劑; approved use=詳見仿單。; names=""黃氏"" 益骨康加強型口服溶液用粉劑 Maxbone-S powder for oral solution ""H.S."".",2026-07-14T17:31:47+08:00
review_00218,衛署藥製字第055014號,“榮民”平吐寧懸液劑 1 毫克/毫升,Tonine Suspension 1mg/mL,懸液劑,詳見仿單,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",leaflet_reference_only,generic_liquid_name,ready_to_use,unresolved,,,MR-C01,low,TFDA dosage form=懸液劑; approved use=詳見仿單; names=“榮民”平吐寧懸液劑 1 毫克/毫升 Tonine Suspension 1mg/mL.,2026-07-14T17:31:47+08:00
review_00228,衛署藥製字第055229號,三鶯醫用液態二氧化碳,San Ying Medical Liquid Carbon Dioxide,醫用氣體(液態),詳見仿單,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",leaflet_reference_only,generic_liquid_name,ready_to_use,auto_exclude,,,MR-B01,high,TFDA dosage form=醫用氣體(液態); approved use=詳見仿單; names=三鶯醫用液態二氧化碳 San Ying Medical Liquid Carbon Dioxide.,2026-07-14T17:31:47+08:00
review_00236,衛署藥製字第055267號,美佳特 口服懸液劑 40 毫克/毫升,Megatus Oral Suspension 40mg/ml,懸液劑,本品的成人建議起始劑量為400-800毫克。,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",other_official_text,explicit_oral_liquid_name;generic_liquid_name,ready_to_use,auto_include,oral_suspension,ready_to_use,MR-A02,high,TFDA dosage form=懸液劑; approved use=本品的成人建議起始劑量為400-800毫克。; names=美佳特 口服懸液劑 40 毫克/毫升 Megatus Oral Suspension 40mg/ml.,2026-07-14T17:31:47+08:00
review_00257,內衛成製字第003123號,龜鹿益壽菁,MIN TONG ISHOUCHING,液劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,none,ready_to_use,unresolved,,,MR-C01,low,TFDA dosage form=液劑; approved use=; names=龜鹿益壽菁 MIN TONG ISHOUCHING.,2026-07-14T17:31:47+08:00
review_00271,內衛藥製字第000938號,安利黴素懸濁用顆粒,ERYMYCIN GRANULES FOR SUSPENSION,懸液用顆粒劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,generic_liquid_name,requires_reconstitution,unresolved,,,MR-C01,low,TFDA dosage form=懸液用顆粒劑; approved use=; names=安利黴素懸濁用顆粒 ERYMYCIN GRANULES FOR SUSPENSION.,2026-07-14T17:31:47+08:00
review_00325,內衛藥製字第010696號,複方安胃乳,ALUMAG GEL COMPOUND,懸液劑,一天3至4次，或需要時服用。成人每次8ml(1包)，12歲以上適用成人劑量；6歲以上未滿12歲，每次4ml(1/2包)；3歲以上未滿6歲，每次2ml(1/4包)；3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",explicit_oral_use,none,ready_to_use,auto_include,oral_suspension,ready_to_use,MR-A02,high,TFDA dosage form=懸液劑; approved use=一天3至4次，或需要時服用。成人每次8ml(1包)，12歲以上適用成人劑量；6歲以上未滿12歲，每次4ml(1/2包)；3歲以上未滿6歲，每次2ml(1/4包)；3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。; names=複方安胃乳 ALUMAG GEL COMPOUND.,2026-07-14T17:31:47+08:00
review_00348,衛部藥製字第058636號,"""中菱""必佳恩點眼液","Beca-N Eye Drops ""C.R.""",點眼液劑,請詳見仿單,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",leaflet_reference_only,generic_liquid_name,ready_to_use,auto_exclude,,,MR-B01,high,"TFDA dosage form=點眼液劑; approved use=請詳見仿單; names=""中菱""必佳恩點眼液 Beca-N Eye Drops ""C.R."".",2026-07-14T17:31:47+08:00
review_00353,衛部藥製字第058753號,"""倍力骨""固可沙明口服溶液用粉劑",Bei-Li-Gu glucosamine powder for oral solution,溶液用粉劑,每天服用一包(溶於一杯水)，與餐併服較佳。治療期間：3個月。每隔2個月可重複一次療程。,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",explicit_oral_use,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,auto_include,powder_for_oral_solution,requires_reconstitution,MR-A03,high,"TFDA dosage form=溶液用粉劑; approved use=每天服用一包(溶於一杯水)，與餐併服較佳。治療期間：3個月。每隔2個月可重複一次療程。; names=""倍力骨""固可沙明口服溶液用粉劑 Bei-Li-Gu glucosamine powder for oral solution.",2026-07-14T17:31:47+08:00
review_00354,衛部藥製字第058760號,勤發醫用液態氧氣,King F Medical Liquid Oxygen,醫用氣體(液態),請詳見仿單,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",leaflet_reference_only,generic_liquid_name,ready_to_use,auto_exclude,,,MR-B01,high,TFDA dosage form=醫用氣體(液態); approved use=請詳見仿單; names=勤發醫用液態氧氣 King F Medical Liquid Oxygen.,2026-07-14T17:31:47+08:00
review_00380,衛署藥製字第008373號,"""達德士""齒痛水","CHYTONSUI ""D.T.S""",液劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,generic_liquid_name,ready_to_use,unresolved,,,MR-C01,low,"TFDA dosage form=液劑; approved use=; names=""達德士""齒痛水 CHYTONSUI ""D.T.S"".",2026-07-14T17:31:47+08:00
review_00389,衛署藥製字第009010號,"""派頓""欣可爽點眼液","NEOCOSON EYE DROPS ""PATRON""",點眼液劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,generic_liquid_name,ready_to_use,auto_exclude,,,MR-B01,high,"TFDA dosage form=點眼液劑; approved use=; names=""派頓""欣可爽點眼液 NEOCOSON EYE DROPS ""PATRON"".",2026-07-14T17:31:47+08:00
review_00406,衛署藥製字第019423號,"""杏輝"" 金碘藥水（普威隆碘）","SINDINE SOLUTION ""SINPHAR"" (POVIDONE-IODINE)",溶液劑,一日數次 塗抹於患部，或以紗布、脫脂棉等沾取塗抹。,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",other_official_text,generic_liquid_name,ready_to_use,unresolved,,,MR-C01,low,"TFDA dosage form=溶液劑; approved use=一日數次 塗抹於患部，或以紗布、脫脂棉等沾取塗抹。; names=""杏輝"" 金碘藥水（普威隆碘） SINDINE SOLUTION ""SINPHAR"" (POVIDONE-IODINE).",2026-07-14T17:31:47+08:00
review_00407,衛署藥製字第019424號,"""杏輝"" 金碘酒精液（普維酮碘）","SINDINE ALCOHOLIC SOLUTION ""SINPHAR"" (POVIDONE-IODINE)",溶液劑,一日數次，塗抹(撒佈或噴灑)於患部，或以紗布、脫脂棉等沾取塗抹。,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",other_official_text,generic_liquid_name,ready_to_use,unresolved,,,MR-C01,low,"TFDA dosage form=溶液劑; approved use=一日數次，塗抹(撒佈或噴灑)於患部，或以紗布、脫脂棉等沾取塗抹。; names=""杏輝"" 金碘酒精液（普維酮碘） SINDINE ALCOHOLIC SOLUTION ""SINPHAR"" (POVIDONE-IODINE).",2026-07-14T17:31:47+08:00
review_00422,衛署藥製字第024613號,"""皇佳"" 胃喜因懸浮液","OXEIN SUSPESION ""ROYAL""",懸液劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,generic_liquid_name,ready_to_use,unresolved,,,MR-C01,low,"TFDA dosage form=懸液劑; approved use=; names=""皇佳"" 胃喜因懸浮液 OXEIN SUSPESION ""ROYAL"".",2026-07-14T17:31:47+08:00
review_00440,衛署藥製字第030574號,優克黴素懸液用顆粒２５０公絲/５公撮（安莫西林）,"GEMOX GRANULES FOR ORAL SUSPENSION 250MG/5ML (AMOXICILLINE) ""GENTLE""",懸液用顆粒劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,auto_include,granules_for_oral_suspension,requires_reconstitution,MR-A03,high,"TFDA dosage form=懸液用顆粒劑; approved use=; names=優克黴素懸液用顆粒２５０公絲/５公撮（安莫西林） GEMOX GRANULES FOR ORAL SUSPENSION 250MG/5ML (AMOXICILLINE) ""GENTLE"".",2026-07-14T17:31:47+08:00
review_00462,衛署藥製字第037561號,循利寧滴劑,Shunlinin Drops,滴劑,18歲以上一次服用20滴(約1毫升)，於飯前或飯後服用，每日早、中、晚各一次。,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",explicit_oral_use,generic_liquid_name,ready_to_use,auto_include,oral_drops,ready_to_use,MR-A02,high,TFDA dosage form=滴劑; approved use=18歲以上一次服用20滴(約1毫升)，於飯前或飯後服用，每日早、中、晚各一次。; names=循利寧滴劑 Shunlinin Drops.,2026-07-14T17:31:47+08:00
review_00475,衛署藥製字第037632號,速熱寧口服懸液２０毫克/毫升,SCONIN ORAL SUSPENSION 20MG/ML,懸液劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,explicit_oral_liquid_name;generic_liquid_name,ready_to_use,auto_include,oral_suspension,ready_to_use,MR-A02,high,TFDA dosage form=懸液劑; approved use=; names=速熱寧口服懸液２０毫克/毫升 SCONIN ORAL SUSPENSION 20MG/ML.,2026-07-14T17:31:47+08:00
review_00477,衛署藥製字第037637號,"""永勝""保胃康懸液２０公絲/公撮（希每得定）","POWEGON SUSPENSION 20MG/ML (CIMETIDINE) ""EVEREST""",懸液劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,generic_liquid_name,ready_to_use,unresolved,,,MR-C01,low,"TFDA dosage form=懸液劑; approved use=; names=""永勝""保胃康懸液２０公絲/公撮（希每得定） POWEGON SUSPENSION 20MG/ML (CIMETIDINE) ""EVEREST"".",2026-07-14T17:31:47+08:00
review_00489,衛署藥製字第044130號,暢快拉拉滴劑7.5毫克/毫升,LaLa Fun Sodium Picosulfate Drops 7.5 mg/ml,滴劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,generic_liquid_name,ready_to_use,unresolved,,,MR-C01,low,TFDA dosage form=滴劑; approved use=; names=暢快拉拉滴劑7.5毫克/毫升 LaLa Fun Sodium Picosulfate Drops 7.5 mg/ml.,2026-07-14T17:31:47+08:00
review_00493,衛署藥製字第044169號,安蒙西林口服懸液用粉劑２５公絲/公撮（三水合安莫西林）,AMOXICILLIN POWDER FOR ORAL SUSPENSION 25MG/ML (AMOXICILLIN TRIHYDRATE),懸液用粉劑,,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,explicit_oral_liquid_name;generic_liquid_name,requires_reconstitution,auto_include,powder_for_oral_suspension,requires_reconstitution,MR-A03,high,TFDA dosage form=懸液用粉劑; approved use=; names=安蒙西林口服懸液用粉劑２５公絲/公撮（三水合安莫西林） AMOXICILLIN POWDER FOR ORAL SUSPENSION 25MG/ML (AMOXICILLIN TRIHYDRATE).,2026-07-14T17:31:47+08:00
review_00504,衛署藥製字第050143號,亞東氣體醫用液態氧氣,ALFE Medical Liquid Oxygen,醫用氣體(液態),,inclusion,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",Check official TFDA route/form before formal inclusion.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00,"Candidate form/name exists, but TFDA structured dosage form and approved use do not confirm oral liquid use.",blank,generic_liquid_name,ready_to_use,auto_exclude,,,MR-B01,high,TFDA dosage form=醫用氣體(液態); approved use=; names=亞東氣體醫用液態氧氣 ALFE Medical Liquid Oxygen.,2026-07-14T17:31:47+08:00
