product_id,class_id,classification_evidence,source_id
oral_liquid_00011,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (GLYCYRRHIZA EXTRACT;;CHLORPHENIRAMINE MALEATE;;CAFFEINE;;DL-METHYLEPHEDRINE HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL);;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00011,expectorant_mucolytic,Multi-signal pharmacologic rule uses TFDA active summary (GLYCYRRHIZA EXTRACT;;CHLORPHENIRAMINE MALEATE;;CAFFEINE;;DL-METHYLEPHEDRINE HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL);;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00012,cough,Multi-signal pharmacologic rule uses TFDA active summary (CODEINE PHOSPHATE;;PLATYCODON EXTRACT;;AMMONIUM CHLORIDE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00013,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (CAFFEINE ANHYDROUS;;ACETAMINOPHEN (EQ TO PARACETAMOL);;DL-METHYLEPHEDRINE HCL;;GLYCYRRHIZA EXTRACT;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;CHLORPHENIRAMINE MALEATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00013,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (CAFFEINE ANHYDROUS;;ACETAMINOPHEN (EQ TO PARACETAMOL);;DL-METHYLEPHEDRINE HCL;;GLYCYRRHIZA EXTRACT;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;CHLORPHENIRAMINE MALEATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00013,expectorant_mucolytic,Multi-signal pharmacologic rule uses TFDA active summary (CAFFEINE ANHYDROUS;;ACETAMINOPHEN (EQ TO PARACETAMOL);;DL-METHYLEPHEDRINE HCL;;GLYCYRRHIZA EXTRACT;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;CHLORPHENIRAMINE MALEATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00014,other,Multi-signal pharmacologic rule uses TFDA active summary (NIACINAMIDE (NICOTINAMIDE);;ASCORBIC ACID (VIT C);;THIOCTIC ACID AMIDE (THIOCTAMIDE);;RIBOFLAVIN PHOSPHATE SODIUM;;PYRIDOXINE HCL;;INOSITOL (MESO-INOSITOL);;THIAMINE MONONITRATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00015,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (DL-METHYLEPHEDRINE HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL);;CHLORPHENIRAMINE MALEATE;;SENEGA;;CAFFEINE ANHYDROUS;;CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00015,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (DL-METHYLEPHEDRINE HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL);;CHLORPHENIRAMINE MALEATE;;SENEGA;;CAFFEINE ANHYDROUS;;CARBETAPENTANE CITRATE (eq to Pentoxyverine Citrate)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00016,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (DL-METHYLEPHEDRINE HCL;;POTASSIUM GUAIACOLSULFONATE;;CHLORPHENIRAMINE MALEATE;;CAFFEINE ANHYDROUS;;ACETAMINOPHEN (EQ TO PARACETAMOL)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00016,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (DL-METHYLEPHEDRINE HCL;;POTASSIUM GUAIACOLSULFONATE;;CHLORPHENIRAMINE MALEATE;;CAFFEINE ANHYDROUS;;ACETAMINOPHEN (EQ TO PARACETAMOL)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00017,cough,Multi-signal pharmacologic rule uses TFDA active summary (POTASSIUM GUAIACOLSULFONATE;;DL-METHYLEPHEDRINE HCL;;DEXTROMETHORPHAN HBR); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00018,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (CHLORPHENIRAMINE MALEATE;;DL-METHYLEPHEDRINE HCL;;CAFFEINE ANHYDROUS;;ACETAMINOPHEN (EQ TO PARACETAMOL)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00018,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (CHLORPHENIRAMINE MALEATE;;DL-METHYLEPHEDRINE HCL;;CAFFEINE ANHYDROUS;;ACETAMINOPHEN (EQ TO PARACETAMOL)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00019,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (DL-METHYLEPHEDRINE HCL;;POTASSIUM GUAIACOLSULFONATE;;CHLORPHENIRAMINE MALEATE;;ACETAMINOPHEN (EQ TO PARACETAMOL);;CAFFEINE ANHYDROUS); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00019,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (DL-METHYLEPHEDRINE HCL;;POTASSIUM GUAIACOLSULFONATE;;CHLORPHENIRAMINE MALEATE;;ACETAMINOPHEN (EQ TO PARACETAMOL);;CAFFEINE ANHYDROUS); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00020,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (DL-METHYLEPHEDRINE HCL;;POTASSIUM GUAIACOLSULFONATE;;CHLORPHENIRAMINE MALEATE;;CODEINE PHOSPHATE;;PLATYCODON EXTRACT); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00020,cough,Multi-signal pharmacologic rule uses TFDA active summary (DL-METHYLEPHEDRINE HCL;;POTASSIUM GUAIACOLSULFONATE;;CHLORPHENIRAMINE MALEATE;;CODEINE PHOSPHATE;;PLATYCODON EXTRACT); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00021,cough,Multi-signal pharmacologic rule uses TFDA active summary (DL-METHYLEPHEDRINE HCL;;POTASSIUM GUAIACOLSULFONATE;;DEXTROMETHORPHAN HBR); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00022,expectorant_mucolytic,Multi-signal pharmacologic rule uses TFDA active summary (AMBROXOL HYDROCHLORIDE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00023,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (CHLORPHENIRAMINE MALEATE;;ACETAMINOPHEN (EQ TO PARACETAMOL);;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;GLYCYRRHIZA EXTRACT;;DL-METHYLEPHEDRINE HCL;;CAFFEINE ANHYDROUS); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00023,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (CHLORPHENIRAMINE MALEATE;;ACETAMINOPHEN (EQ TO PARACETAMOL);;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;GLYCYRRHIZA EXTRACT;;DL-METHYLEPHEDRINE HCL;;CAFFEINE ANHYDROUS); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00023,expectorant_mucolytic,Multi-signal pharmacologic rule uses TFDA active summary (CHLORPHENIRAMINE MALEATE;;ACETAMINOPHEN (EQ TO PARACETAMOL);;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;GLYCYRRHIZA EXTRACT;;DL-METHYLEPHEDRINE HCL;;CAFFEINE ANHYDROUS); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00024,other,Multi-signal pharmacologic rule uses TFDA active summary (ASCORBIC ACID;;INOSITOL;;RIBOFLAVIN-5-PHOSPHATE SODIUM;;THIOCTIC ACID AMIDE (THIOCTAMIDE);;THIAMINE MONONITRATE;;PYRIDOXINE HCL;;NICOTINAMIDE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00025,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (ACETAMINOPHEN (EQ TO PARACETAMOL);;DEXTROMETHORPHAN HBR;;POTASSIUM GUAIACOLSULFONATE;;CHLORPHENIRAMINE MALEATE;;DL-METHYLEPHEDRINE HCL;;CAFFEINE;;GLYCYRRHIZA EXTRACT); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00025,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (ACETAMINOPHEN (EQ TO PARACETAMOL);;DEXTROMETHORPHAN HBR;;POTASSIUM GUAIACOLSULFONATE;;CHLORPHENIRAMINE MALEATE;;DL-METHYLEPHEDRINE HCL;;CAFFEINE;;GLYCYRRHIZA EXTRACT); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00025,cough,Multi-signal pharmacologic rule uses TFDA active summary (ACETAMINOPHEN (EQ TO PARACETAMOL);;DEXTROMETHORPHAN HBR;;POTASSIUM GUAIACOLSULFONATE;;CHLORPHENIRAMINE MALEATE;;DL-METHYLEPHEDRINE HCL;;CAFFEINE;;GLYCYRRHIZA EXTRACT); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00026,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (ACETAMINOPHEN (EQ TO PARACETAMOL);;CAFFEINE ANHYDROUS;;DL-METHYLEPHEDRINE HCL;;CHLORPHENIRAMINE MALEATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00026,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (ACETAMINOPHEN (EQ TO PARACETAMOL);;CAFFEINE ANHYDROUS;;DL-METHYLEPHEDRINE HCL;;CHLORPHENIRAMINE MALEATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00027,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (CAFFEINE ANHYDROUS;;DL-METHYLEPHEDRINE HCL;;CHLORPHENIRAMINE MALEATE;;ACETAMINOPHEN (EQ TO PARACETAMOL)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00027,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (CAFFEINE ANHYDROUS;;DL-METHYLEPHEDRINE HCL;;CHLORPHENIRAMINE MALEATE;;ACETAMINOPHEN (EQ TO PARACETAMOL)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00028,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (DL-CHLORPHENIRAMINE MALEATE;;DEXTROMETHORPHAN HBR;;DL-METHYLEPHEDRINE HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL);;CAFFEINE ANHYDROUS;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00028,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (DL-CHLORPHENIRAMINE MALEATE;;DEXTROMETHORPHAN HBR;;DL-METHYLEPHEDRINE HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL);;CAFFEINE ANHYDROUS;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00028,cough,Multi-signal pharmacologic rule uses TFDA active summary (DL-CHLORPHENIRAMINE MALEATE;;DEXTROMETHORPHAN HBR;;DL-METHYLEPHEDRINE HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL);;CAFFEINE ANHYDROUS;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00028,expectorant_mucolytic,Multi-signal pharmacologic rule uses TFDA active summary (DL-CHLORPHENIRAMINE MALEATE;;DEXTROMETHORPHAN HBR;;DL-METHYLEPHEDRINE HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL);;CAFFEINE ANHYDROUS;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00029,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;ACETAMINOPHEN (EQ TO PARACETAMOL);;CHLORPHENIRAMINE MALEATE;;CAFFEINE ANHYDROUS); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00029,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;ACETAMINOPHEN (EQ TO PARACETAMOL);;CHLORPHENIRAMINE MALEATE;;CAFFEINE ANHYDROUS); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00029,expectorant_mucolytic,Multi-signal pharmacologic rule uses TFDA active summary (GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;ACETAMINOPHEN (EQ TO PARACETAMOL);;CHLORPHENIRAMINE MALEATE;;CAFFEINE ANHYDROUS); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00030,other,Multi-signal pharmacologic rule uses TFDA active summary (CYPROHEPTADINE HCL); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00031,other,Multi-signal pharmacologic rule uses TFDA active summary (GUAIACOL GLYCOLATE (EQ TO GLYCERYL GUAIACOLATE)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00032,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (PSEUDOEPHEDRINE HCL;;DEXTROMETHORPHAN HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL);;CHLORPHENIRAMINE MALEATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00032,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (PSEUDOEPHEDRINE HCL;;DEXTROMETHORPHAN HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL);;CHLORPHENIRAMINE MALEATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00032,cough,Multi-signal pharmacologic rule uses TFDA active summary (PSEUDOEPHEDRINE HCL;;DEXTROMETHORPHAN HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL);;CHLORPHENIRAMINE MALEATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00033,laxative,Multi-signal pharmacologic rule uses TFDA active summary (LACTULOSE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00034,other,Multi-signal pharmacologic rule uses TFDA active summary (KETOTIFEN (FUMARATE)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00035,cough,Multi-signal pharmacologic rule uses TFDA active summary (POTASSIUM GUAIACOLSULFONATE;;DEXTROMETHORPHAN HBR;;DL-METHYLEPHEDRINE HCL); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00036,cough,Multi-signal pharmacologic rule uses TFDA active summary (POTASSIUM CRESOLSULFONATE;;DEXTROMETHORPHAN HBR); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00037,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE;;DL-METHYLEPHEDRINE HCL;;BROMHEXINE HCL;;CODEINE PHOSPHATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00037,cough,Multi-signal pharmacologic rule uses TFDA active summary (CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE;;DL-METHYLEPHEDRINE HCL;;BROMHEXINE HCL;;CODEINE PHOSPHATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00037,expectorant_mucolytic,Multi-signal pharmacologic rule uses TFDA active summary (CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE;;DL-METHYLEPHEDRINE HCL;;BROMHEXINE HCL;;CODEINE PHOSPHATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00038,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (CHLORPHENIRAMINE MALEATE;;CAFFEINE ANHYDROUS;;DL-METHYLEPHEDRINE HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00038,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (CHLORPHENIRAMINE MALEATE;;CAFFEINE ANHYDROUS;;DL-METHYLEPHEDRINE HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00039,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (CHLORPHENIRAMINE MALEATE;;DL-METHYLEPHEDRINE HCL;;GUAIACOL GLYCOLATE (EQ TO GLYCERYL GUAIACOLATE);;DL-METHYLEPHEDRINE HCL;;GUAIACOL GLYCOLATE (EQ TO GLYCERYL GUAIACOLATE);;CHLORPHENIRAMINE MALEATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00040,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (CHLORPHENIRAMINE MALEATE;;PHENYLEPHRINE HCL); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00041,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (DL-METHYLEPHEDRINE HCL;;CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE;;ACETAMINOPHEN (EQ TO PARACETAMOL)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00041,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (DL-METHYLEPHEDRINE HCL;;CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE;;ACETAMINOPHEN (EQ TO PARACETAMOL)); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00042,neurologic,Multi-signal pharmacologic rule uses TFDA active summary (GABAPENTIN); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00043,other,Multi-signal pharmacologic rule uses TFDA active summary (DIMENHYDRINATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00044,other,Multi-signal pharmacologic rule uses TFDA active summary (MORPHINE SULFATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00045,other,Multi-signal pharmacologic rule uses TFDA active summary (BUTAMIRATE CITRATE;;BUTAMIRATE CITRATE;;BUTAMIRATE CITRATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00046,neurologic,Multi-signal pharmacologic rule uses TFDA active summary (LEVETIRACETAM); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00047,other,Multi-signal pharmacologic rule uses TFDA active summary (CAFFEINE;;QUININE SULFATE;;SODIUM HYPOPHOSPHITE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00048,other,Multi-signal pharmacologic rule uses TFDA active summary (CAPSICUM TINCTURE;;CAMPHOR); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00049,other,Multi-signal pharmacologic rule uses TFDA active summary (TINCTURE CARDAMON COMPOUND;;ALMOND OIL;;ACETUM SCILLAE;;GLYCYRRHIZA EXTRACT;;POTASSIUM GUAIACOLSULFONATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00050,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (ETHAVERINE HCL (eq to BALBONIN) (eq to Ethylpapaverine HCl);;DL-METHYLEPHEDRINE HCL;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;CHLORPHENIRAMINE MALEATE;;NOSCAPINE HCL); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00050,cough,Multi-signal pharmacologic rule uses TFDA active summary (ETHAVERINE HCL (eq to BALBONIN) (eq to Ethylpapaverine HCl);;DL-METHYLEPHEDRINE HCL;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;CHLORPHENIRAMINE MALEATE;;NOSCAPINE HCL); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00050,expectorant_mucolytic,Multi-signal pharmacologic rule uses TFDA active summary (ETHAVERINE HCL (eq to BALBONIN) (eq to Ethylpapaverine HCl);;DL-METHYLEPHEDRINE HCL;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;CHLORPHENIRAMINE MALEATE;;NOSCAPINE HCL); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00051,vitamin_or_mineral_drug,Multi-signal pharmacologic rule uses TFDA active summary (RIBOFLAVIN (VIT B2);;ASCORBIC ACID (VIT C);;TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;THIAMINE HYDROCHLORIDE;;PANTOTHENATE CALCIUM;;INOSITOL (MESO-INOSITOL);;MALIC ACID DL-); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00051,gastrointestinal,Multi-signal pharmacologic rule uses TFDA active summary (RIBOFLAVIN (VIT B2);;ASCORBIC ACID (VIT C);;TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;THIAMINE HYDROCHLORIDE;;PANTOTHENATE CALCIUM;;INOSITOL (MESO-INOSITOL);;MALIC ACID DL-); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00052,vitamin_or_mineral_drug,Multi-signal pharmacologic rule uses TFDA active summary (LYSINE L- HCL ( EQ TO L-LYSINE HCL);;THIAMINE HYDROCHLORIDE;;ASCORBIC ACID (VIT C);;ERGOCALCIFEROL (VIT D2CALCIFEROL);;PANTOTHENATE CALCIUM;;PYRIDOXINE HCL;;RIBOFLAVIN PHOSPHATE;;CYANOCOBALAMIN (VIT B12);;NIACINAMIDE (NICOTINAMIDE);;VITAMIN A); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00053,antihistamine,Multi-signal pharmacologic rule uses TFDA active summary (EPHEDRINE HCL (EQ TO EPHEDRINE HYDROCHLORIDE);;AMMONIUM CHLORIDE;;POTASSIUM GUAIACOLSULFONATE;;POLYGALA EXTRACT;;CHLORPHENIRAMINE MALEATE;;CODEINE PHOSPHATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00053,cough,Multi-signal pharmacologic rule uses TFDA active summary (EPHEDRINE HCL (EQ TO EPHEDRINE HYDROCHLORIDE);;AMMONIUM CHLORIDE;;POTASSIUM GUAIACOLSULFONATE;;POLYGALA EXTRACT;;CHLORPHENIRAMINE MALEATE;;CODEINE PHOSPHATE); indication corroborates only.,tfda_open_data_info37_cached_20260711
oral_liquid_00054,antipyretic_analgesic,Multi-signal pharmacologic rule uses TFDA active summary (ACETAMINOPHEN (EQ TO PARACETAMOL);;DEXTROMETHORPHAN HBR;;POTASSIUM GUAIACOLSULFONATE;;THIAMINE MONONITRATE;;CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE;;RIBOFLAVIN (VIT B2);;DL-METHYLEPHEDRINE HCL;;ETHENZAMIDE (ETHOXYBENZAMIDE)); indication corroborates only.,tfda_open_data_info37_cached_20260711
