product_id,license_number,license_year,chinese_name,english_name,dosage_form_raw,dosage_form_normalized,route_raw,route_normalized,application_site,action_scope,suppository_inclusion_evidence,indication_raw,indication_normalized,therapeutic_class,license_status,license_expiry_date,applicant,manufacturer,source_id,verified_at,processing_status
supp_0011,衛署藥製字第030538號,1987,"""培力""益汝栓劑５０毫克","ECOVAL SUPPOSITORY 50MG ""P.L.""",栓劑,rectal_suppository,,rectal,rectal,unclear,"TFDA dosage form=栓劑; approved use=; product names=""培力""益汝栓劑５０毫克 / ECOVAL SUPPOSITORY 50MG ""P.L."". Inclusion determined from dosage form and route/name signals, not indication alone.",黴菌、念珠菌感染所引起之腟炎及外陰腟炎,黴菌、念珠菌感染所引起之腟炎及外陰腟炎,other_rectal,active,2029/12/14,培力藥品工業股份有限公司,培力藥品工業股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0012,衛署藥製字第030552號,1987,小兒熱之200止熱栓劑,ACETA 200 SUPPOSITORY,栓劑,rectal_suppository,發燒或需要時服用，若症狀持續，則每4~6小時可重複服用。每24小時內不可超過5次。6歲以上未滿12歲，每次1~2顆；3歲以上未滿6歲，每次1顆；3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。初次應使用最小建議劑量，再視症狀增減用量。本藥不得剝半使用。,rectal,rectal,unclear,"TFDA dosage form=栓劑; approved use=發燒或需要時服用，若症狀持續，則每4~6小時可重複服用。每24小時內不可超過5次。6歲以上未滿12歲，每次1~2顆；3歲以上未滿6歲，每次1顆；3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。初次應使用最小建議劑量，再視症狀增減用量。本藥不得剝半使用。; product names=小兒熱之200止熱栓劑 / ACETA 200 SUPPOSITORY. Inclusion determined from dosage form and route/name signals, not indication alone.",退燒、止痛(緩解頭痛、牙痛、咽喉痛、關節痛、神經痛、肌肉酸痛、月經痛)。,退燒、止痛(緩解頭痛、牙痛、咽喉痛、關節痛、神經痛、肌肉酸痛、月經痛)。,other_rectal,active,2028/09/03,回春堂製藥廠股份有限公司,回春堂製藥廠股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0013,衛署藥製字第030553號,1987,小兒熱之100止熱栓劑,ACETA 100 SUPPOSITORY,栓劑,rectal_suppository,發燒或需要時服用，若症狀持續，則每4~6小時可重複服用。每24小時內不可超過6次。6歲以上未滿12歲，每次2~3顆；3歲以上未滿6歲，每次1顆；3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。初次應使用最小建議劑量，再視症狀增減用量。本藥不得剝半使用。,rectal,rectal,systemic,"TFDA dosage form=栓劑; approved use=發燒或需要時服用，若症狀持續，則每4~6小時可重複服用。每24小時內不可超過6次。6歲以上未滿12歲，每次2~3顆；3歲以上未滿6歲，每次1顆；3歲以下之嬰幼兒，請洽醫師診治，不宜自行使用。初次應使用最小建議劑量，再視症狀增減用量。本藥不得剝半使用。; product names=小兒熱之100止熱栓劑 / ACETA 100 SUPPOSITORY. Inclusion determined from dosage form and route/name signals, not indication alone.",退燒、止痛(緩解頭痛、牙痛、咽喉痛、關節痛、神經痛、肌肉酸痛、月經痛)。,退燒、止痛(緩解頭痛、牙痛、咽喉痛、關節痛、神經痛、肌肉酸痛、月經痛)。,antipyretic_analgesic,active,2028/08/27,回春堂製藥廠股份有限公司,回春堂製藥廠股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0014,衛署藥製字第030554號,1987,熱之３００止熱栓劑,ACETA 300 SUPPOSITORY,栓劑,rectal_suppository,發燒或需要時使用，若症狀持續，則每4~6小時可重複使用，每24小時內不可超過4次。成人每次1顆，12歲以上適用成人劑量。本藥不得剝半使用。,rectal,rectal,systemic,"TFDA dosage form=栓劑; approved use=發燒或需要時使用，若症狀持續，則每4~6小時可重複使用，每24小時內不可超過4次。成人每次1顆，12歲以上適用成人劑量。本藥不得剝半使用。; product names=熱之３００止熱栓劑 / ACETA 300 SUPPOSITORY. Inclusion determined from dosage form and route/name signals, not indication alone.",退燒、止痛（緩解頭痛、牙痛、咽喉痛、關節痛、神經痛、肌肉酸痛、月經痛）。,退燒、止痛（緩解頭痛、牙痛、咽喉痛、關節痛、神經痛、肌肉酸痛、月經痛）。,antipyretic_analgesic,active,2028/10/20,回春堂製藥廠股份有限公司,回春堂製藥廠股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0015,衛署藥製字第030591號,1988,"""培力"" 普他寧栓劑50毫克（待克菲鈉）","VOTALIN SUPPOSITORY 50MG ""P.L."" (DICLOFENAC SODIUM)",栓劑,rectal_suppository,本藥須由醫師處方使用。降低不良反應之風險，應使用最低有效劑量，並作為期最短之治療。 成人：每日最大劑量不建議大於100 mg。症狀較輕或長期治療時，每日投 予75-100 mg 即足夠。每日總劑量應分2-3 次使用。為避免夜間疼痛及早晨僵硬 症狀，日間以錠劑治療外，可於睡前補充一粒栓劑。 兒童：一歲以上的孩童視病情的嚴重度給予每天0.5-2 mg/kg 體重，分2-3 次使用。幼年型風濕性關節炎的治療可提高至3 mg/kg 體重分次使用。 栓劑50 mg 不建議使用於孩童。,rectal,rectal,systemic,"TFDA dosage form=栓劑; approved use=本藥須由醫師處方使用。降低不良反應之風險，應使用最低有效劑量，並作為期最短之治療。 成人：每日最大劑量不建議大於100 mg。症狀較輕或長期治療時，每日投 予75-100 mg 即足夠。每日總劑量應分2-3 次使用。為避免夜間疼痛及早晨僵硬 症狀，日間以錠劑治療外，可於睡前補充一粒栓劑。 兒童：一歲以上的孩童視病情的嚴重度給予每天0.5-2 mg/kg 體重，分2-3 次使用。幼年型風濕性關節炎的治療可提高至3 mg/kg 體重分次使用。 栓劑50 mg 不建議使用於孩童。; product names=""培力"" 普他寧栓劑50毫克（待克菲鈉） / VOTALIN SUPPOSITORY 50MG ""P.L."" (DICLOFENAC SODIUM). Inclusion determined from dosage form and route/name signals, not indication alone.",緩解發炎及因發炎反應引起之疼痛。,緩解發炎及因發炎反應引起之疼痛。,anti_inflammatory_systemic,active,2030/01/18,培力藥品工業股份有限公司,培力藥品工業股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0016,衛署藥製字第030647號,1988,"""生達"" 必克炎栓劑１２．５毫克（待克菲那）","Difena Supp. 12.5mg ""Standard"" (Diclofenac Sodium)",栓劑,rectal_suppository,詳如仿單,rectal,rectal,systemic,"TFDA dosage form=栓劑; approved use=詳如仿單; product names=""生達"" 必克炎栓劑１２．５毫克（待克菲那） / Difena Supp. 12.5mg ""Standard"" (Diclofenac Sodium). Inclusion determined from dosage form and route/name signals, not indication alone.",緩解發炎及因發炎反應引起之疼痛。,緩解發炎及因發炎反應引起之疼痛。,anti_inflammatory_systemic,active,2030/02/09,生達化學製藥股份有限公司,培力藥品工業股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0017,衛署藥製字第030651號,1988,“生達”必克炎栓劑２５毫克（待克菲那）,"Difena Supp. 25mg ""Standard"" (Diclofenac Sodium)",栓劑,rectal_suppository,詳如仿單,rectal,rectal,systemic,"TFDA dosage form=栓劑; approved use=詳如仿單; product names=“生達”必克炎栓劑２５毫克（待克菲那） / Difena Supp. 25mg ""Standard"" (Diclofenac Sodium). Inclusion determined from dosage form and route/name signals, not indication alone.",緩解發炎及因發炎反應引起之疼痛。,緩解發炎及因發炎反應引起之疼痛。,anti_inflammatory_systemic,active,2030/02/09,生達化學製藥股份有限公司,培力藥品工業股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0018,衛署藥製字第037645號,1994,"""華興""安喘康栓劑","ATHMACON SUPPOSITORIES ""H.S.""",栓劑,rectal_suppository,,rectal,rectal,unclear,"TFDA dosage form=栓劑; approved use=; product names=""華興""安喘康栓劑 / ATHMACON SUPPOSITORIES ""H.S."". Inclusion determined from dosage form and route/name signals, not indication alone.",氣管與支氣管痙攣。,氣管與支氣管痙攣。,other_rectal,active,2029/05/31,華興化學製藥廠股份有限公司,大豐製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0019,衛署藥製字第044211號,2001,〝華興〞舒便栓劑１０毫克,"SUBEN SUPPOSITORIES 10MG ""H.S."" (BISACODYL)",栓劑,rectal_suppository,成人一次使用1個，每日可使用1個，12歲以上適用成人劑量，12歲以下不建議使用。本劑不得剝半使用。,rectal,rectal,local,"TFDA dosage form=栓劑; approved use=成人一次使用1個，每日可使用1個，12歲以上適用成人劑量，12歲以下不建議使用。本劑不得剝半使用。; product names=〝華興〞舒便栓劑１０毫克 / SUBEN SUPPOSITORIES 10MG ""H.S."" (BISACODYL). Inclusion determined from dosage form and route/name signals, not indication alone.",緩解便祕。,緩解便祕。,laxative,active,2031/01/15,華興化學製藥廠股份有限公司,大豐製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0020,衛署藥輸字第025318號,2017,日方痔瘡栓劑,HEMOSCUT SUPPOSITORIES,栓劑,rectal_suppository,詳見仿單,rectal,rectal,local,"TFDA dosage form=栓劑; approved use=詳見仿單; product names=日方痔瘡栓劑 / HEMOSCUT SUPPOSITORIES. Inclusion determined from dosage form and route/name signals, not indication alone.",內外痔核、肛門裂傷、肛門搔癢、脫肛、肛門周圍炎、痔出血、腫脹、疼痛等症狀之緩解。,內外痔核、肛門裂傷、肛門搔癢、脫肛、肛門周圍炎、痔出血、腫脹、疼痛等症狀之緩解。,hemorrhoid; local_anesthetic; anti_inflammatory_local,active,2026/01/12,德佑藥品有限公司,"YUKINOMOTO HONTEN CO., LTD.",tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0021,衛署藥製字第018597號,1979,痣可妥栓劑,HEMODIN SUPPOSITORIES,栓劑,rectal_suppository,,rectal,rectal,local,"TFDA dosage form=栓劑; approved use=; product names=痣可妥栓劑 / HEMODIN SUPPOSITORIES. Inclusion determined from dosage form and route/name signals, not indication alone.",外痔核、痔出血、痔疼痛、肛門裂創、肛門周圍炎、肛門搔癢症、肛門濕疹、肛門潰瘍,外痔核、痔出血、痔疼痛、肛門裂創、肛門周圍炎、肛門搔癢症、肛門濕疹、肛門潰瘍,hemorrhoid; local_anesthetic,active,2028/05/25,臺灣派頓化學製藥股份有限公司,國嘉製藥工業股份有限公司幼獅三廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0022,衛署藥製字第022200號,1980,喜癒痔栓劑,"XYLMOL SUPPOSITORY ""SINPHAR""",栓劑,rectal_suppository,,rectal,rectal,local,"TFDA dosage form=栓劑; approved use=; product names=喜癒痔栓劑 / XYLMOL SUPPOSITORY ""SINPHAR"". Inclusion determined from dosage form and route/name signals, not indication alone.",痔瘡、肛門裂傷、肛門周圍膿腫及脫肛,痔瘡、肛門裂傷、肛門周圍膿腫及脫肛,hemorrhoid; local_anesthetic; anti_inflammatory_local,active,2029/05/25,杏輝藥品工業股份有限公司,杏輝藥品工業股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0023,衛署藥輸字第016229號,2025,安可治陰道栓劑,ALBOTHYL VAGINAL SUPPOSITORIES (OVULES),栓劑,vaginal_suppository,,intravaginal,vaginal,local,"TFDA dosage form=栓劑; approved use=; product names=安可治陰道栓劑 / ALBOTHYL VAGINAL SUPPOSITORIES (OVULES). Inclusion determined from dosage form and route/name signals, not indication alone.",子宮頸糜爛、白帶、陰道炎、子宮頸炎（含由毛滴蟲及念珠菌引起者）,子宮頸糜爛、白帶、陰道炎、子宮頸炎（含由毛滴蟲及念珠菌引起者）,antiseptic,active,2029/11/16,瑞慶藥業有限公司,瑪里士實業有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0024,衛署藥製字第023664號,1981,"""歐業""宜克治陰道栓劑（亦可那挫）","ECONAZOLE VAGINAL SUPPOSITORIES ""O.Y.""",栓劑,vaginal_suppository,,intravaginal,vaginal,local,"TFDA dosage form=栓劑; approved use=; product names=""歐業""宜克治陰道栓劑（亦可那挫） / ECONAZOLE VAGINAL SUPPOSITORIES ""O.Y."". Inclusion determined from dosage form and route/name signals, not indication alone.",女性陰道念珠菌與革蘭氏陽性細菌之感染症及混合感染症,女性陰道念珠菌與革蘭氏陽性細菌之感染症及混合感染症,antifungal,active,2028/05/25,歐業藥品股份有限公司,大豐製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0025,衛署藥製字第031608號,1989,"""生達""吐必止栓劑１０毫克（多普利杜）","DOMPEDON SUPPOSITORY 10MG ""STANDARD""(DOMPERIDONE)",栓劑,rectal_suppository,"小兒:一天2-3次直腸投與,三歲以上一次30mg,三歲以下一次，10mg,可視年齡,體重,症狀適宜增減大人:一天2-4次,一次30-60mg",rectal,rectal,unclear,"TFDA dosage form=栓劑; approved use=小兒:一天2-3次直腸投與,三歲以上一次30mg,三歲以下一次，10mg,可視年齡,體重,症狀適宜增減大人:一天2-4次,一次30-60mg; product names=""生達""吐必止栓劑１０毫克（多普利杜） / DOMPEDON SUPPOSITORY 10MG ""STANDARD""(DOMPERIDONE). Inclusion determined from dosage form and route/name signals, not indication alone.",無法口服情況下，用於噁心、嘔吐的症狀治療，糖尿病引起的胃腸蠕動異常。,無法口服情況下，用於噁心、嘔吐的症狀治療，糖尿病引起的胃腸蠕動異常。,other_rectal,active,2029/06/26,生達化學製藥股份有限公司,培力藥品工業股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0026,衛署藥製字第031880號,1989,"""培力""普他寧栓劑25毫克(待克菲鈉)","VOTALIN SUPPOSITORY 25MG ""P.L"" (DICLOFENAC SODIUM)",栓劑,rectal_suppository,為降低不良反應之風險，應使用最低有效劑量，並作為期最短之治療。 成人：每日最大劑量不建議大於100 mg。症狀較輕或長期治療時，每日投 予75-100 mg 即足夠。每日總劑量應分2-3 次使用。為避免夜間疼痛及早晨僵硬 症狀，日間以錠劑治療外，可於睡前補充一粒栓劑。 兒童：一歲以上的孩童視病情的嚴重度給予每天0.5-2 mg/kg 體重，分2-3 次使用。幼年型風濕性關節炎的治療可提高至3 mg/kg 體重分次使用。 栓劑50 mg 不建議使用於孩童。,rectal,rectal,systemic,"TFDA dosage form=栓劑; approved use=為降低不良反應之風險，應使用最低有效劑量，並作為期最短之治療。 成人：每日最大劑量不建議大於100 mg。症狀較輕或長期治療時，每日投 予75-100 mg 即足夠。每日總劑量應分2-3 次使用。為避免夜間疼痛及早晨僵硬 症狀，日間以錠劑治療外，可於睡前補充一粒栓劑。 兒童：一歲以上的孩童視病情的嚴重度給予每天0.5-2 mg/kg 體重，分2-3 次使用。幼年型風濕性關節炎的治療可提高至3 mg/kg 體重分次使用。 栓劑50 mg 不建議使用於孩童。; product names=""培力""普他寧栓劑25毫克(待克菲鈉) / VOTALIN SUPPOSITORY 25MG ""P.L"" (DICLOFENAC SODIUM). Inclusion determined from dosage form and route/name signals, not indication alone.",緩解發炎及因發炎反應引起之疼痛,緩解發炎及因發炎反應引起之疼痛,anti_inflammatory_systemic,active,2029/10/20,培力藥品工業股份有限公司,培力藥品工業股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0027,衛署藥製字第031881號,1989,''培力''普他寧栓劑１２．５毫克（待克菲鈉）,"VOTALIN SUPPOSITORY 12.5MG (DICLOFENAC SODIUM) ""P.L.""",栓劑,rectal_suppository,降低不良反應之風險，應使用最低有效劑量，並作為期最短之治療。 成人：每日最大劑量不建議大於100 mg。症狀較輕或長期治療時，每日投 予75-100 mg 即足夠。每日總劑量應分2-3 次使用。為避免夜間疼痛及早晨僵硬 症狀，日間以錠劑治療外，可於睡前補充一粒栓劑。 兒童：一歲以上的孩童視病情的嚴重度給予每天0.5-2 mg/kg 體重，分2-3 次使用。幼年型風濕性關節炎的治療可提高至3 mg/kg 體重分次使用。 栓劑50 mg不建議使用於孩童。,rectal,rectal,systemic,"TFDA dosage form=栓劑; approved use=降低不良反應之風險，應使用最低有效劑量，並作為期最短之治療。 成人：每日最大劑量不建議大於100 mg。症狀較輕或長期治療時，每日投 予75-100 mg 即足夠。每日總劑量應分2-3 次使用。為避免夜間疼痛及早晨僵硬 症狀，日間以錠劑治療外，可於睡前補充一粒栓劑。 兒童：一歲以上的孩童視病情的嚴重度給予每天0.5-2 mg/kg 體重，分2-3 次使用。幼年型風濕性關節炎的治療可提高至3 mg/kg 體重分次使用。 栓劑50 mg不建議使用於孩童。; product names=''培力''普他寧栓劑１２．５毫克（待克菲鈉） / VOTALIN SUPPOSITORY 12.5MG (DICLOFENAC SODIUM) ""P.L."". Inclusion determined from dosage form and route/name signals, not indication alone.",緩解發炎及因發炎反應引起之疼痛。,緩解發炎及因發炎反應引起之疼痛。,anti_inflammatory_systemic,active,2029/10/20,培力藥品工業股份有限公司,培力藥品工業股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
supp_0028,衛署藥製字第031918號,1989,痔福栓劑,PILELIFE SUPPOSITORIES,栓劑,rectal_suppository,,rectal,rectal,local,"TFDA dosage form=栓劑; approved use=; product names=痔福栓劑 / PILELIFE SUPPOSITORIES. Inclusion determined from dosage form and route/name signals, not indication alone.",緩解痔核、裂痔、痔腫、痔痒、外痔症狀所產生的痔痛、痔腫、癢及出血現象,緩解痔核、裂痔、痔腫、痔痒、外痔症狀所產生的痔痛、痔腫、癢及出血現象,hemorrhoid; local_anesthetic; anti_inflammatory_local,active,2029/11/15,永信藥品工業股份有限公司,永信藥品工業股份有限公司台中幼獅廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
