indication_id,indication_standard,category_id,indication_category,source_terms,category_confidence,category_reason,category_review_status,notes
IND0052,關節痛等症之消炎,CAT01,肌肉骨骼疼痛與發炎,關節痛等症之消炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0053,打撲,CAT02,外傷與軟組織損傷,打撲,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0054,捻挫,CAT02,外傷與軟組織損傷,捻挫,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0055,骨折,CAT02,外傷與軟組織損傷,骨折,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0056,神精痛,CAT03,神經痛與局部麻醉,神精痛,MEDIUM,明確提及神經痛，但需確認是否為概括性傳統痠痛用途,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0057,僂麻質斯,CAT01,肌肉骨骼疼痛與發炎,僂麻質斯,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0058,肌肉痛之消炎鎮痛,CAT01,肌肉骨骼疼痛與發炎,肌肉痛之消炎鎮痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0059,打撲痛,CAT02,外傷與軟組織損傷,打撲痛,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0060,打撲捻挫,CAT02,外傷與軟組織損傷,打撲捻挫,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0061,創傷面之消毒,CAT12,皮膚局部治療,創傷面之消毒,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0062,殺菌,CAT12,皮膚局部治療,殺菌,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0063,打撲傷,CAT02,外傷與軟組織損傷,打撲傷,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0064,齒痛,CAT14,頸部以上部位疼痛,齒痛,HIGH,依人工指定為頸部以上部位疼痛,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0065,關節痛之消炎鎮痛,CAT01,肌肉骨骼疼痛與發炎,關節痛之消炎鎮痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0066,關節風濕痛,CAT01,肌肉骨骼疼痛與發炎,關節風濕痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0067,肩關節周圍炎,CAT01,肌肉骨骼疼痛與發炎,肩關節周圍炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0068,關節炎腫脹等症狀的消炎鎮痛,CAT01,肌肉骨骼疼痛與發炎,關節炎腫脹等症狀的消炎鎮痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0069,扭挫傷,CAT02,外傷與軟組織損傷,扭挫傷,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0070,關節炎之消炎,CAT01,肌肉骨骼疼痛與發炎,關節炎之消炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0071,頭暈目眩,CAT10,止吐與暈動症,頭暈目眩,HIGH,明確為止吐或暈動症相關用途,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0072,腰骨酸痛,CAT01,肌肉骨骼疼痛與發炎,腰骨酸痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0073,神經骨痛,CAT99,待人工確認,神經骨痛,LOW,適應症文字無法可靠分類，需人工確認,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0074,牙痛耳痛,CAT14,頸部以上部位疼痛,牙痛耳痛,HIGH,依人工指定為頸部以上部位疼痛,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0075,周邊癢痛,CAT12,皮膚局部治療,周邊癢痛,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0076,手足腫痛,CAT02,外傷與軟組織損傷,手足腫痛,HIGH,依人工指定為外傷與軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0077,湯火刀傷,CAT12,皮膚局部治療,湯火刀傷,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0078,蚊蟲咬傷,CAT12,皮膚局部治療,蚊蟲咬傷,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0079,筋肉疲勞,CAT01,肌肉骨骼疼痛與發炎,筋肉疲勞,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0080,風濕性關節炎,CAT01,肌肉骨骼疼痛與發炎,風濕性關節炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0081,斯替耳氏病,CAT99,待人工確認,斯替耳氏病,LOW,適應症文字無法可靠分類，需人工確認,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0082,風濕性心炎與肌炎,CAT01,肌肉骨骼疼痛與發炎,風濕性心炎與肌炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0083,恥骨炎,CAT01,肌肉骨骼疼痛與發炎,恥骨炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0084,骨關節炎,CAT01,肌肉骨骼疼痛與發炎,骨關節炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0085,神經炎,CAT03,神經痛與局部麻醉,神經炎,HIGH,明確為局部神經痛,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0086,滑液囊炎,CAT01,肌肉骨骼疼痛與發炎,滑液囊炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0087,重症支氣管氣喘,CAT13,其他治療用途,重症支氣管氣喘,MEDIUM,適應症可理解但不屬於指定主要治療大類,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0088,藥物及食物過敏,CAT13,其他治療用途,藥物及食物過敏,MEDIUM,適應症可理解但不屬於指定主要治療大類,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0089,急性淋巴性白血病,CAT13,其他治療用途,急性淋巴性白血病,MEDIUM,適應症可理解但不屬於指定主要治療大類,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0090,中毒性皮膚炎,CAT12,皮膚局部治療,中毒性皮膚炎,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0091,原發性副腎皮質機能不全,CAT13,其他治療用途,原發性副腎皮質機能不全,MEDIUM,適應症可理解但不屬於指定主要治療大類,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0092,腰痠背痛,CAT01,肌肉骨骼疼痛與發炎,腰痠背痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0093,坐骨神經痛,CAT03,神經痛與局部麻醉,坐骨神經痛,MEDIUM,明確提及神經痛，但需確認是否為概括性傳統痠痛用途,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0094,胸膛及腳部痛,CAT99,待人工確認,胸膛及腳部痛,LOW,適應症文字無法可靠分類，需人工確認,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0095,主治神精痛,CAT03,神經痛與局部麻醉,主治神精痛,MEDIUM,明確提及神經痛，但需確認是否為概括性傳統痠痛用途,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0096,筋骨痛,CAT01,肌肉骨骼疼痛與發炎,筋骨痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0097,風濕痛．,CAT01,肌肉骨骼疼痛與發炎,風濕痛．,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0098,暫時緩解局部疼痛．,CAT01,肌肉骨骼疼痛與發炎,暫時緩解局部疼痛．,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0099,（筋肉痛,CAT99,待人工確認,（筋肉痛,LOW,適應症文字過短，需人工確認,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0100,坐骨神精痛,CAT03,神經痛與局部麻醉,坐骨神精痛,MEDIUM,明確提及神經痛，但需確認是否為概括性傳統痠痛用途,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0101,關節痛）,CAT01,肌肉骨骼疼痛與發炎,關節痛）,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0102,肩膀痛等疾患之消炎,CAT01,肌肉骨骼疼痛與發炎,肩膀痛等疾患之消炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0103,肌肉酸痛,CAT01,肌肉骨骼疼痛與發炎,肌肉酸痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0104,暫時緩解局部疼痛,CAT01,肌肉骨骼疼痛與發炎,暫時緩解局部疼痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0105,背痛,CAT01,肌肉骨骼疼痛與發炎,背痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0106,關節痛等疾患之消炎,CAT01,肌肉骨骼疼痛與發炎,關節痛等疾患之消炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0107,（神經痛,CAT99,待人工確認,（神經痛,LOW,適應症文字過短，需人工確認,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0108,肌肉痛）,CAT01,肌肉骨骼疼痛與發炎,肌肉痛）,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0109,（關節痛,CAT99,待人工確認,（關節痛,LOW,適應症文字過短，需人工確認,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0110,腰痛背痛,CAT01,肌肉骨骼疼痛與發炎,腰痛背痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0111,骨折痛,CAT02,外傷與軟組織損傷,骨折痛,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0112,口腔黏膜潰瘍之緩解,CAT12,皮膚局部治療,口腔黏膜潰瘍之緩解,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0113,肩傷,CAT02,外傷與軟組織損傷,肩傷,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0114,凍傷,CAT02,外傷與軟組織損傷,凍傷,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0115,腰痛肩痛,CAT01,肌肉骨骼疼痛與發炎,腰痛肩痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0116,僂麻質斯痛,CAT01,肌肉骨骼疼痛與發炎,僂麻質斯痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0117,打傷,CAT02,外傷與軟組織損傷,打傷,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0118,挫傷及腰痠背痛,CAT99,待人工確認,挫傷及腰痠背痛,LOW,同時可能屬於兩個大類，需人工確認,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0119,運動或身體勞動後所引起的肌肉疲勞,CAT01,肌肉骨骼疼痛與發炎,運動或身體勞動後所引起的肌肉疲勞,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0120,變形性關節炎,CAT01,肌肉骨骼疼痛與發炎,變形性關節炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0121,肌腱腱鞘炎,CAT01,肌肉骨骼疼痛與發炎,肌腱腱鞘炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0122,腱周圍炎,CAT01,肌肉骨骼疼痛與發炎,腱周圍炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0123,上腕骨上 顆炎,CAT01,肌肉骨骼疼痛與發炎,上腕骨上 顆炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0124,外傷之腫脹疼痛等上述疾患及症狀之鎮痛消炎,CAT02,外傷與軟組織損傷,外傷之腫脹疼痛等上述疾患及症狀之鎮痛消炎,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0125,上腕骨上顆炎,CAT01,肌肉骨骼疼痛與發炎,上腕骨上顆炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0126,外傷後之腫脹,CAT02,外傷與軟組織損傷,外傷後之腫脹,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0127,疼痛等上述疾患及症狀之鎮痛,CAT99,待人工確認,疼痛等上述疾患及症狀之鎮痛,LOW,適應症文字無法可靠分類，需人工確認,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0128,變形性關節症,CAT01,肌肉骨骼疼痛與發炎,變形性關節症,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0129,腱鞘炎,CAT01,肌肉骨骼疼痛與發炎,腱鞘炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0130,上腕骨關節炎,CAT01,肌肉骨骼疼痛與發炎,上腕骨關節炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0131,疼痛症狀的鎮痛,CAT01,肌肉骨骼疼痛與發炎,疼痛症狀的鎮痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0132,（變形關節症,CAT99,待人工確認,（變形關節症,LOW,適應症文字過短，需人工確認,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0133,上腕骨上髁炎,CAT01,肌肉骨骼疼痛與發炎,上腕骨上髁炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0134,痛病）,CAT99,待人工確認,痛病）,LOW,適應症文字過短，需人工確認,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0135,幫助戒菸,CAT05,戒菸治療,幫助戒菸,HIGH,明確為戒菸用途,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0136,疼痛等諸症狀的鎮痛,CAT99,待人工確認,疼痛等諸症狀的鎮痛,LOW,適應症文字過短，需人工確認,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0137,外傷之腫脤疼痛等上述疾患及症狀之鎮痛消炎,CAT02,外傷與軟組織損傷,外傷之腫脤疼痛等上述疾患及症狀之鎮痛消炎,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0138,凍傷骨折痛,CAT02,外傷與軟組織損傷,凍傷骨折痛,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0139,腰痛等症狀,CAT01,肌肉骨骼疼痛與發炎,腰痛等症狀,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0140,自然或手術引起之停經症候群,CAT09,荷爾蒙與生殖系統治療,自然或手術引起之停經症候群,HIGH,明確為荷爾蒙或生殖系統治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0141,停經後骨質疏鬆症之防治,CAT09,荷爾蒙與生殖系統治療,停經後骨質疏鬆症之防治,HIGH,明確為荷爾蒙或生殖系統治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0142,治療疣,CAT12,皮膚局部治療,治療疣,HIGH,明確為皮膚或局部病灶治療,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0143,撞傷,CAT02,外傷與軟組織損傷,撞傷,HIGH,明確為外傷或軟組織損傷,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0144,骨關節炎（關節痛,CAT01,肌肉骨骼疼痛與發炎,骨關節炎（關節痛,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0145,退化性關節痛）,CAT01,肌肉骨骼疼痛與發炎,退化性關節痛）,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
IND0146,外傷後或肌腱炎,CAT99,待人工確認,外傷後或肌腱炎,LOW,同時可能屬於兩個大類，需人工確認,NEEDS_REVIEW,由官方適應症原文拆解，未建立疾病大類
IND0147,關節周圍炎,CAT01,肌肉骨骼疼痛與發炎,關節周圍炎,HIGH,明確為肌肉骨骼疼痛或發炎,CONFIRMED,由官方適應症原文拆解，未建立疾病大類
